year,omegat,Ft,Mt,alphat,rhot,initN
1,0,0.371795,0.565903,9.411656805,0.693588937,0.878574655
2,0,0.340096,0.609286,9.614949825,0.683582315,0.777446526
3,0.620151,0.0551679,0.649044,10.13261156,0.658857205,0.536119615
4,0.360386,0.32144,0.673572,7.871126106,0.747260796,0.127639565
5,-0.326409,0.368558,0.676446,6.633924002,0.789455995,0.157372766
6,-0.703146,0.612802,0.658728,6.738883063,0.785901277,0.186513957
7,-0.442275,0.838843,0.628764,11.0013752,0.636345293,0.209988035
8,0.15531,0.313901,0.599798,10.99338043,0.637270987,0.224950961
9,0.150839,0.49263,0.584226,9.05853073,0.699520261,0.504763292
10,-0.448536,0.586657,0.589332,12.19183785,0.583471598,NA
11,0.233029,0.512248,0.619439,8.706209529,0.715326589,NA
12,0.163347,0.633194,0.677114,9.149052354,0.698590575,NA
13,0.476731,0.721147,0.762123,7.624649088,0.755048146,NA
14,-0.159051,0.725113,0.868132,13.94807972,0.521628439,NA
15,-0.446574,0.662139,0.983117,14.0317317,0.517238349,NA
16,-0.260936,0.721258,1.09073,18.3165272,0.384340861,NA
17,-0.0795927,1.10175,1.17204,8.207247944,0.733630677,NA
18,-0.160335,0.0614845,1.20976,8.207247944,0.733630677,NA
19,0.540464,0.00519972,1.1934,8.207247944,0.733630677,NA
20,0.272203,0.00444343,1.12359,8.039917511,0.749638955,NA
21,-0.198947,0.0236682,1.01346,10.44204319,0.663021807,NA
22,-0.392018,0.161104,0.883877,11.76884897,0.619378124,NA
23,-0.333407,0.208964,0.756371,9.989015581,0.684006237,NA
24,-0.0169741,0.156496,0.647991,19.83351829,0.352978894,NA
25,-0.462969,0.216305,0.570004,9.225590171,0.713121446,NA
26,0.0847355,0.210236,0.526762,10.6077408,0.667639918,NA
27,-0.0403625,0.200334,0.517617,6.207558547,0.824765154,NA
28,-0.586282,0.209574,0.541212,6.603213983,0.799800652,NA
29,-0.00646623,0.160967,0.595772,8.391957144,0.741985054,NA
30,-0.235087,0.0576823,0.675478,7.839625763,0.761053926,NA
31,-0.229994,0.124926,0.764517,7.784125566,0.75549898,NA
32,-0.465953,0.168296,0.841242,6.50028275,0.795024738,NA
33,-0.710111,0.352808,0.885989,7.485633141,0.761076893,NA
34,-0.238138,0.345962,0.888858,8.153609698,0.739326394,NA
35,0.280192,0.257759,0.854609,5.430871201,0.848582165,NA
36,-0.397558,0.00610889,0.800882,6.091346081,0.818276222,NA
37,0.39828,0.306633,0.748416,6.673547535,0.783553471,NA
38,-0.764861,0.21924,0.709514,4.795910027,0.862955839,NA
39,0.184826,0.199773,0.689192,7.461733095,0.754979918,NA
40,-0.388928,0.185925,0.687774,7.920091449,0.749647563,NA
41,0.471382,0.24446,0.701924,8.36537111,0.721610287,NA
42,0.147336,0.232091,0.724214,10.72767761,0.630717624,NA
43,0.391857,0.231066,0.745901,10.96426366,0.613153881,NA
44,-0.457918,0.287174,0.760316,9.691645271,0.662244592,NA
45,0.172867,0.201554,0.763668,9.420650369,0.684691547,NA
46,0.5278,0.195816,0.75569,7.993269425,0.738987494,NA
47,0.579303,0.22941,0.73974,5.591962956,0.824940956,NA
48,-0.208482,0.222477,0.721736,8.336887838,0.707801734,NA
49,0.193281,0.17659,0.706707,9.824989248,0.646199552,NA
50,0.405816,0.193838,0.697933,7.692560909,0.7404979,NA
51,0.627998,0.200449,0.697278,9.196307991,0.674147404,NA
52,0.675289,0.220788,0.705457,28.06693324,-0.093266093,NA
53,0.179908,0.217655,0.722134,6.465437203,0.777161535,NA
54,0.221598,0.141563,0.745893,7.47899844,0.725040835,NA
55,0.127746,0.219164,0.774134,9.404607028,0.6541819,NA
56,0.689373,0.255407,0.802714,6.137056803,0.787325095,NA
57,-0.644574,0.182244,0.825639,4.217281481,0.862283867,NA
58,0.615946,0.157067,0.835096,10.65408012,0.586409532,NA
59,-1.06225,0.177868,0.82246,10.65408012,0.829965692,NA
60,0.782918,0.183119,0.783057,10.65408012,0.829965692,NA
61,0.339983,0.16578,0.719381,10.65408012,0.829965692,NA
62,-0.162323,0.186179,0.639944,10.65408012,0.829965692,NA
63,0.0340153,0.176937,0.556183,10.65408012,0.829965692,NA
